Horizon,Actuals - Scaled,Actuals - Descaled,Predicted - Scaled,Predicted - Descaled,Model Name
1,,,[0.83450742],[176.04224072],RF
2,,,[0.84907284],[176.83503671],ET
3,,,[0.86542877],[177.72529012],ET
4,,,[0.85646692],[177.23749618],ET
5,,,[0.84128353],[176.41106452],ET
6,,,[0.8446094],[176.59209167],ET
7,,,[0.85214602],[177.0023097],ET
8,,,[0.8620775],[177.54288005],ET
9,,,[0.86877358],[177.90734782],ET
10,,,[0.87709842],[178.36046922],GBM
11,,,[0.87575044],[178.2870983],ET
12,,,[0.89020032],[179.07360546],ET
13,,,[0.90537939],[179.89980239],RF
14,,,[0.86272409],[177.57807436],GBM
15,,,[0.87648746],[178.32721444],GBM
16,,,[0.83924319],[176.30000887],GBM
17,,,[0.86212649],[177.54554686],ET
18,,,[0.86146565],[177.50957703],ET
19,,,[0.8534515],[177.07336709],ET
20,,,[0.86865604],[177.90095005],ET
21,,,[0.8744641],[178.21708288],RF
22,,,[0.87069429],[178.01189205],RF
23,,,[0.84188279],[176.44368201],RF
24,,,[0.81353439],[174.90067819],GBM
25,,,[0.83129974],[175.86764682],ET
26,,,[0.85948442],[177.4017387],ET
27,,,[0.84914408],[176.83891425],ET
28,,,[0.85237939],[177.01501218],ET
29,,,[0.93895368],[181.72725156],GBM
30,,,[0.8860637],[178.84844954],ET
31,,,[0.84857254],[176.80780514],ET
32,,,[0.85482443],[177.14809585],RF
33,,,[0.82872542],[175.72752629],GBM
34,,,[0.84031533],[176.35836543],GBM
35,,,[0.8342565],[176.0285828],ET
36,,,[0.85471072],[177.14190645],GBM
37,,,[0.8378216],[176.22263151],GBM
38,,,[0.83433906],[176.0330765],ET
39,,,[0.82731108],[175.65054385],ET
40,,,[0.83309256],[175.96522982],ET
41,,,[0.81857714],[175.17515561],ET
42,,,[0.82764106],[175.66850435],GBM
43,,,[0.813899],[174.92052412],RF
44,,,[0.85816857],[177.33011735],RF
45,,,[0.84568769],[176.65078275],GBM
46,,,[0.88646867],[178.87049166],GBM
47,,,[0.88781876],[178.94397743],ET
48,,,[0.85540159],[177.17951063],GBM
49,,,[0.89744085],[179.46770778],ET
50,,,[0.89954068],[179.5820016],ET
51,,,[0.87284684],[178.12905528],ET
52,,,[0.88390334],[178.73086071],ET
53,,,[0.88200375],[178.62746622],ET
54,,,[0.89631732],[179.40655393],GBM
55,,,[0.86122553],[177.49650752],ET
56,,,[0.86648024],[177.7825212],ET
57,,,[0.89291057],[179.22112445],ET
58,,,[0.87907164],[178.46787139],ET
59,,,[0.85421512],[177.11493074],ET
60,,,[0.86813186],[177.87241916],ET
61,,,[0.86629978],[177.77269916],GBM
62,,,[0.86402353],[177.6488025],GBM
63,,,[0.8332797],[175.97541588],GBM
64,,,[0.83154919],[175.8812242],GBM
65,,,[0.83530337],[176.08556427],RF
66,,,[0.82593938],[175.575882],GBM
67,,,[0.83357365],[175.9914153],RF
68,,,[0.90562401],[179.91311723],GBM
69,,,[0.94083856],[181.82984565],GBM
70,,,[0.84129161],[176.41150399],GBM
71,,,[0.87605799],[178.30383871],GBM
72,,,[0.86189298],[177.53283706],GBM
73,,,[0.85018749],[176.89570689],GBM
74,,,[0.74883011],[171.37882382],GBM
75,,,[0.79013274],[173.62692667],GBM
76,,,[0.86696741],[177.80903809],ET
77,,,[0.89070526],[179.10108951],ET
78,,,[0.93106513],[181.2978777],ET
79,,,[0.91913651],[180.64860288],ET
80,,,[0.8991791],[179.56232047],GBM
81,,,[0.93019553],[181.25054519],RF
82,,,[0.84800116],[176.77670501],GBM
83,,,[0.86021997],[177.44177504],GBM
84,,,[0.91242522],[180.28330689],RF
85,,,[0.86171089],[177.5229259],ET
86,,,[0.86425252],[177.6612667],ET
87,,,[0.8625953],[177.57106422],RF
88,,,[0.89828511],[179.51366077],GBM
89,,,[0.85489333],[177.15184573],ET
90,,,[0.95567479],[182.63738132],GBM
